symbol,date,universe,dayTypeHint,openType,gap,volatility,participation,catalyst,relative,gapPct,rangeAtr,rvol,closeLoc,retPct,spyRetPct,status,notes
SPY,2026-07-10,tape_index,normal,open_auction,gap_none,vol_normal,rvol_normal,,,0.05,0.78,0.71,0.94,0.43,0.43,confirmed,confirmed propose hint
TSLA,2026-07-10,single_name,non_trend,open_test_drive,gap_partial,vol_contract,rvol_normal,,beta_proxy,0.97,0.51,0.71,0.48,0.30,0.43,confirmed,confirmed propose hint
AAPL,2026-07-09,single_name,normal,open_test_drive,gap_and_fade,vol_normal,rvol_normal,,beta_proxy,-0.92,0.93,0.72,0.96,0.90,0.85,confirmed,confirmed propose hint
NVDA,2026-07-09,single_name,normal,open_drive,gap_none,vol_normal,rvol_normal,,laggard,0.17,0.85,0.88,0.68,-0.66,0.85,confirmed,confirmed propose hint
QQQ,2026-07-09,tape_index,non_trend,open_auction,gap_and_go,vol_contract,rvol_low,,leader,0.97,0.55,0.67,0.90,1.66,0.85,confirmed,confirmed propose hint
SPY,2026-07-09,tape_index,non_trend,open_test_drive,gap_and_go,vol_normal,rvol_low,,,0.26,0.68,0.67,0.96,0.85,0.85,confirmed,confirmed propose hint
TSLA,2026-07-09,single_name,normal,open_auction,gap_none,vol_normal,rvol_normal,,leader,-0.02,0.82,0.78,0.92,3.17,0.85,confirmed,confirmed propose hint
AAPL,2026-07-08,single_name,normal,open_drive,gap_partial,vol_normal,rvol_low,,leader,0.40,0.87,0.60,0.82,0.88,-0.31,confirmed,confirmed propose hint
NVDA,2026-07-08,single_name,trend,open_drive,gap_and_fade,vol_expand,rvol_normal,,leader,-0.89,1.51,0.99,0.90,3.65,-0.31,confirmed,confirmed propose hint
QQQ,2026-07-08,tape_index,non_trend,open_auction,gap_and_fade,vol_normal,rvol_low,,leader,-0.63,0.68,0.70,0.93,0.28,-0.31,confirmed,confirmed propose hint
SPY,2026-07-08,tape_index,non_trend,open_rejection_reverse,gap_and_go,vol_normal,rvol_normal,,,-0.61,0.67,0.70,0.89,-0.31,-0.31,confirmed,confirmed propose hint
TSLA,2026-07-08,single_name,non_trend,open_drive,gap_and_go,vol_contract,rvol_low,,laggard,-0.87,0.45,0.69,0.39,-2.19,-0.31,confirmed,confirmed propose hint
AAPL,2026-07-07,single_name,non_trend,open_drive,gap_and_fade,vol_normal,rvol_low,,beta_proxy,0.84,0.60,0.61,0.10,-0.64,-0.48,confirmed,confirmed propose hint
NVDA,2026-07-07,single_name,normal,open_auction,gap_and_fade,vol_normal,rvol_normal,,leader,-1.63,1.15,0.80,0.80,0.71,-0.48,confirmed,confirmed propose hint
QQQ,2026-07-07,tape_index,non_trend,open_test_drive,gap_and_go,vol_normal,rvol_normal,,laggard,-1.20,0.68,0.79,0.40,-1.85,-0.48,confirmed,confirmed propose hint
SPY,2026-07-07,tape_index,non_trend,open_drive,gap_none,vol_contract,rvol_low,,,-0.14,0.59,0.68,0.43,-0.48,-0.48,confirmed,confirmed propose hint
TSLA,2026-07-07,single_name,normal,open_test_drive,gap_and_go,vol_normal,rvol_normal,,laggard,-0.67,0.87,0.76,0.06,-4.02,-0.48,confirmed,confirmed propose hint
AAPL,2026-07-06,single_name,normal,open_drive,gap_and_fade,vol_normal,rvol_normal,,idiosyncratic,-0.41,0.81,0.78,0.79,1.31,0.87,confirmed,confirmed propose hint
NVDA,2026-07-06,single_name,non_trend,open_drive,gap_and_fade,vol_contract,rvol_low,,laggard,-0.21,0.56,0.69,0.44,0.37,0.87,confirmed,confirmed propose hint
QQQ,2026-07-06,tape_index,non_trend,open_test_drive,gap_and_go,vol_contract,rvol_low,,leader,1.03,0.44,0.56,0.57,1.43,0.87,confirmed,confirmed propose hint
SPY,2026-07-06,tape_index,non_trend,open_auction,gap_and_go,vol_contract,rvol_normal,,,0.53,0.48,0.78,0.77,0.87,0.87,confirmed,confirmed propose hint
TSLA,2026-07-06,single_name,trend,open_test_drive,gap_partial,vol_expand,rvol_normal,,leader,1.03,1.50,1.11,0.99,6.69,0.87,confirmed,confirmed trend — strong close near high (visual guide l1-trend calibration)
